lambda,n,k
213,1.135017807,1.881027757
214,1.139031547,1.88610521
215,1.143031762,1.891169376
216,1.144687704,1.900081561
217,1.149130944,1.904337661
218,1.153559291,1.908585612
219,1.157972883,1.912825449
220,1.161099988,1.9162863
221,1.169922059,1.92320504
222,1.177104166,1.929310987
223,1.184250011,1.935402135
224,1.191360079,1.941478518
225,1.202650554,1.940713362
226,1.21083488,1.944939016
227,1.213071072,1.945475458
228,1.2171527,1.947167352
229,1.226732358,1.944189362
230,1.236924272,1.94164406
231,1.247699053,1.938234487
232,1.257295735,1.936696302
233,1.259934184,1.930656403
234,1.262591245,1.924613377
235,1.264358671,1.917968417
236,1.260062561,1.904667335
237,1.255763121,1.891280258
238,1.249615896,1.87657664
239,1.248694817,1.867950413
240,1.244888682,1.863620445
241,1.232677531,1.853688367
242,1.214694814,1.83996834
243,1.192574014,1.836364011
244,1.179661472,1.841630036
245,1.169217015,1.843113786
246,1.151941141,1.840371808
247,1.13266556,1.847412047
248,1.112232466,1.856626257
249,1.096563571,1.858077411
250,1.080856086,1.859637029
251,1.061241494,1.875162262
252,1.048926366,1.894794586
253,1.043463488,1.902318599
254,1.040564052,1.91122305
255,1.032284783,1.930184414
256,1.023138066,1.9511052
257,1.019402701,1.961933196
258,1.012211571,1.970931826
259,1.004017652,1.991996849
260,1.001498976,2.001999051
261,1.001011459,2.012963969
262,0.996433833,2.025556808
263,0.99434837,2.033157318
264,0.992285766,2.040742767
265,0.985632761,2.05705419
266,0.982847545,2.065427146
267,0.985013165,2.076114384
268,0.979576058,2.092742042
269,0.977424225,2.102464772
270,0.975304921,2.112159958
271,0.970103727,2.128638354
272,0.969395306,2.135351788
273,0.968698383,2.142049616
274,0.966852506,2.151310554
275,0.965034015,2.160545606
276,0.963242466,2.169754836
277,0.961336194,2.179258424
278,0.959458371,2.188734878
279,0.949100051,2.204720143
280,0.942543168,2.212100274
281,0.934111723,2.218685356
282,0.9253202,2.226256381
283,0.920596029,2.235508231
284,0.914618784,2.24793109
285,0.908716258,2.260331518
286,0.902887319,2.272708849
287,0.897627406,2.283798362
288,0.896018847,2.296268663
289,0.894083115,2.309628675
290,0.895003959,2.324012067
291,0.888312489,2.347147008
292,0.885267549,2.360868195
293,0.883203092,2.37487846
294,0.88118605,2.388825832
295,0.878297458,2.402375163
296,0.874798436,2.417699796
297,0.871367523,2.432957328
298,0.868324817,2.447240893
299,0.867145572,2.462101022
300,0.866006536,2.476886618
301,0.865801909,2.491909498
302,0.86225977,2.516642984
303,0.859794812,2.529673323
304,0.857372034,2.542653497
305,0.856454996,2.557052045
306,0.855571259,2.571381376
307,0.856462683,2.586218925
308,0.857370009,2.60097738
309,0.85973456,2.617086837
310,0.862101495,2.633100641
311,0.863061597,2.650448136
312,0.864043363,2.667690187
313,0.862785575,2.683169571
314,0.861566436,2.69857309
315,0.858975512,2.712533673
316,0.856428471,2.726439019
317,0.857768923,2.739665586
318,0.859115525,2.752831176
319,0.86479244,2.763668932
320,0.870437754,2.774466054
321,0.873328214,2.784367463
322,0.874425916,2.799932264
323,0.875536827,2.815415553
324,0.878415336,2.831803931
325,0.88128942,2.848099549
326,0.882564835,2.863812265
327,0.883851423,2.879443234
328,0.885817608,2.895629955
329,0.887788523,2.911729462
330,0.888582912,2.922255908
331,0.889382513,2.932746367
332,0.890187192,2.943201188
333,0.893186098,2.958509998
334,0.896177635,2.973740801
335,0.897397054,2.989200808
336,0.898626656,3.004584808
337,0.898372359,3.020276957
338,0.898142536,3.035895258
339,0.899196181,3.047165968
340,0.903011076,3.05920943
341,0.906809991,3.071205685
342,0.907389143,3.087613165
343,0.907985998,3.103939203
344,0.909892951,3.115751142
345,0.914253334,3.12823579
346,0.918593523,3.140670957
347,0.919961417,3.157741124
348,0.921340153,3.174723244
349,0.922729298,3.191618611
350,0.928443217,3.209673941
351,0.935434911,3.22309972
352,0.939059682,3.235506105
353,0.942670515,3.247865099
354,0.944356838,3.266773613
355,0.945585485,3.285442422
356,0.947631547,3.301212739
357,0.949679133,3.316909775
358,0.956118702,3.333791081
359,0.962517615,3.350588032
360,0.965904358,3.366447865
361,0.969280549,3.382233697
362,0.972646259,3.397946548
363,0.977355403,3.413974748
364,0.98204198,3.429928053
365,0.986706309,3.445807502
366,0.995573984,3.462826527
367,1.004377746,3.479766466
368,1.008939409,3.495419679
369,1.013480543,3.511003106
370,1.018001421,3.526517672
371,1.022502311,3.541964282
372,1.026983479,3.557343822
373,1.031445179,3.572657156
374,1.036936083,3.585884796
375,1.042400501,3.599064528
376,1.047838794,3.612196858
377,1.05452299,3.62565195
378,1.0611717,3.639059226
379,1.067785439,3.652419163
380,1.073853733,3.670580586
381,1.07988841,3.688652732
382,1.085890015,3.706636902
383,1.098241861,3.726410496
384,1.11049119,3.746090053
385,1.117467845,3.761480345
386,1.124405896,3.776809317
387,1.131305939,3.79207768
388,1.139371542,3.803266252
389,1.147398103,3.814427314
390,1.155386096,3.825561009
391,1.163323888,3.841005398
392,1.171216125,3.856390438
393,1.179063518,3.871716774
394,1.188043254,3.887344437
395,1.19696901,3.902913631
396,1.205841648,3.918424949
397,1.215048786,3.933998418
398,1.224200974,3.94951491
399,1.23329908,3.964974984
400,1.241962383,3.980260112
401,1.25057663,3.995490196
402,1.259142566,4.01066578
403,1.273149747,4.025449491
404,1.287065464,4.040198532
405,1.29902741,4.054315258
406,1.310918196,4.068395242
407,1.322738826,4.082438569
408,1.330810698,4.095248114
409,1.338246863,4.10985458
410,1.345646726,4.124410881
411,1.356647452,4.140107765
412,1.367939533,4.154667083
413,1.379166558,4.16918462
414,1.390329475,4.183660604
415,1.401429215,4.198095264
416,1.412466657,4.21248882
417,1.423442692,4.226841504
418,1.434358195,4.24115355
419,1.445213989,4.255425181
420,1.462999597,4.272044923
421,1.480659154,4.288630496
422,1.490924049,4.303818598
423,1.501133539,4.318958428
424,1.511288389,4.334050368
425,1.529240598,4.348563599
426,1.547078655,4.363061941
427,1.561427004,4.376338652
428,1.57569631,4.389593734
429,1.589887595,4.402826981
430,1.600666431,4.414827794
431,1.611395695,4.426804275
432,1.621946246,4.439111355
433,1.639044349,4.453814812
434,1.656037966,4.468496587
435,1.669664201,4.48193915
436,1.684132359,4.492916848
437,1.698532269,4.503888528
438,1.720925387,4.517918125
439,1.743175208,4.531959819
440,1.757312192,4.542922643
441,1.771384137,4.553877662
442,1.785391713,4.564824593
443,1.807215429,4.578867503
444,1.830555633,4.588770671
445,1.85377568,4.598722538
446,1.876876353,4.608721287
447,1.899858449,4.618765153
448,1.922722784,4.628852413
449,1.937825406,4.635780562
450,1.952875857,4.642725556
451,1.967874425,4.649686933
452,1.990389554,4.659891818
453,2.012790352,4.670133674
454,2.035077691,4.680410996
455,2.057252453,4.690722321
456,2.071896471,4.697789435
457,2.086490759,4.704869459
458,2.101035617,4.711962007
459,2.122877261,4.722364399
460,2.14460995,4.732795351
461,2.16846323,4.738378708
462,2.192227075,4.744034101
463,2.215901471,4.749759923
464,2.239486434,4.755554593
465,2.255611861,4.75850191
466,2.271700503,4.761484463
467,2.287752314,4.764501792
468,2.306600408,4.768923114
469,2.325392593,4.773387528
470,2.344128894,4.777894265
471,2.362809347,4.782442567
472,2.381433998,4.787031682
473,2.397221343,4.790268277
474,2.415301418,4.788912292
475,2.433362217,4.787614404
476,2.451904786,4.786631078
477,2.47042417,4.785707427
478,2.489531212,4.783668043
479,2.50861999,4.781694556
480,2.527689918,4.779786521
481,2.546740422,4.777943482
482,2.565770961,4.776164995
483,2.584780985,4.774450591
484,2.603769958,4.772799806
485,2.623580268,4.769679244
486,2.643376371,4.766631092
487,2.657337653,4.760403702
488,2.670938483,4.754883004
489,2.684549341,4.749400506
490,2.69816991,4.743956246
491,2.717095487,4.741582846
492,2.736383795,4.738614032
493,2.755656837,4.735713033
494,2.769669391,4.729806395
495,2.783307264,4.72459515
496,2.796952665,4.719422021
497,2.810605285,4.714287016
498,2.824264813,4.709190136
499,2.838322766,4.703481986
500,2.852390094,4.69781466
501,2.866466451,4.69218818
502,2.879830545,4.687775821
503,2.893197673,4.683399314
504,2.906567562,4.679058617
505,2.919939942,4.674753683
506,2.931394772,4.669278983
507,2.94285904,4.663831946
508,2.954332547,4.658412613
509,2.965815098,4.653021023
510,2.979212994,4.648878757
511,2.992611863,4.64477207
512,3.006011444,4.640700895
513,3.019747726,4.636148868
514,3.031975054,4.630644958
515,3.044210851,4.625172397
516,3.056454881,4.619731208
517,3.069123329,4.613695339
518,3.081802268,4.607693409
519,3.092994732,4.600719119
520,3.105886693,4.591281464
521,3.118807115,4.581880017
522,3.131755695,4.572515034
523,3.142600148,4.56628248
524,3.149746038,4.557510297
525,3.156913195,4.548747182
526,3.164101602,4.539993276
527,3.171311239,4.531248722
528,3.178542086,4.522513659
529,3.18579412,4.513788229
530,3.193067318,4.505072574
531,3.201149832,4.495259753
532,3.209259003,4.485459101
533,3.217394796,4.475670818
534,3.224229069,4.467734671
535,3.231081027,4.459807687
536,3.237950641,4.451889975
537,3.244837883,4.443981648
538,3.251742721,4.436082813
539,3.258665126,4.428193583
540,3.265605065,4.420314066
541,3.272562503,4.412444372
542,3.279673354,4.404402037
543,3.286802432,4.396370119
544,3.2939497,4.388348736
545,3.301115117,4.380338003
546,3.308298644,4.372338038
547,3.315500237,4.364348957
548,3.322719853,4.356370877
549,3.329957448,4.348403914
550,3.336934674,4.34081018
551,3.343928229,4.333226973
552,3.350938071,4.325654396
553,3.357964155,4.31809255
554,3.363255682,4.309174954
555,3.368566627,4.300260587
556,3.373897011,4.291349559
557,3.379246849,4.282441975
558,3.383221465,4.275299695
559,3.387208261,4.268158831
560,3.391207251,4.261019434
561,3.395047489,4.253745109
562,3.398900138,4.24647173
563,3.402650052,4.2393428
564,3.406411875,4.23221477
565,3.410185631,4.225087696
566,3.413971323,4.217961616
567,3.415382105,4.20889949
568,3.418205041,4.198109777
569,3.421049391,4.187311659
570,3.423915275,4.176505215
571,3.426802814,4.165690522
572,3.427822276,4.157158351
573,3.428852724,4.148617963
574,3.429894221,4.140069368
575,3.430946834,4.131512578
576,3.432010628,4.122947605
577,3.432209042,4.115425321
578,3.432414657,4.107895289
579,3.431432402,4.099357063
580,3.430456404,4.090806498
581,3.429486708,4.082243552
582,3.42852338,4.073668195
583,3.427364443,4.065320039
584,3.426211019,4.056959692
585,3.426262676,4.049601946
586,3.426321048,4.0422365
587,3.426386177,4.034863348
588,3.426458106,4.027482483
